year,penal_cases_total,penal_persons_total,penal_cases_visiting,penal_persons_visiting,penal_cases_other,penal_persons_other,special_cases_total,special_persons_total,special_cases_visiting,special_persons_visiting,special_cases_other,special_persons_other
2015,16017,11046,9417,6187,6600,4859,6587,5435,4850,3855,1737,1580
2016,15276,10750,9043,6097,6233,4653,6911,5610,5090,4012,1821,1598
2017,17156,10580,11012,6113,6144,4467,7845,6323,5994,4715,1851,1608
2018,15549,10065,9573,5844,5976,4221,8393,6776,6662,5238,1731,1538
2019,14789,9603,9148,5563,5641,4040,9784,7538,8112,6092,1672,1446
2020,14536,9529,9512,5634,5024,3895,9900,7332,8353,6122,1547,1210
2021,14050,9404,9105,5573,4945,3831,8178,6270,6788,5104,1390,1166
2022,12947,8702,8548,5014,4399,3688,7514,5726,6114,4534,1400,1192
2023,15541,9726,10040,5735,5501,3991,9352,6930,8048,5799,1304,1131
2024,18861,10464,13405,6368,5456,4096,9755,6917,8389,5802,1366,1115
