area,nationality,penal_cases,penal_persons
Tokyo,Total,2797,1988
Tokyo,Korea,320,252
Tokyo,China,931,663
Tokyo,India,24,23
Tokyo,Indonesia,23,24
Tokyo,Sri Lanka,40,51
Tokyo,Thailand,33,17
Tokyo,Pakistan,24,22
Tokyo,Bangladesh,28,25
Tokyo,Philippines,101,98
Tokyo,Vietnam,415,180
Tokyo,Malaysia,16,6
Tokyo,Myanmar,58,58
Tokyo,Laos,6,3
Tokyo,Nepal,64,68
Tokyo,Iran,8,11
Tokyo,UK,16,17
Tokyo,Italy,2,2
Tokyo,Netherlands,1,1
Tokyo,Russia,20,16
Tokyo,Germany,5,6
Tokyo,France,15,19
Tokyo,USA,108,95
Tokyo,Canada,11,12
Tokyo,Mexico,19,7
Tokyo,Colombia,51,7
Tokyo,Brazil,20,15
Tokyo,Peru,31,26
Tokyo,Egypt,2,2
Tokyo,Ghana,1,1
Tokyo,Nigeria,9,8
Tokyo,Australia,19,18
Tokyo,New Zealand,5,5
Osaka,Total,649,522
Osaka,Korea,55,50
Osaka,China,222,164
Osaka,Thailand,4,4
Osaka,Philippines,23,18
Osaka,Vietnam,194,138
Saitama,Total,832,457
Saitama,Vietnam,395,142
Saitama,China,122,94
Saitama,Turkey,78,57
Saitama,Philippines,42,34
Saitama,Indonesia,25,20
Saitama,Nepal,22,19
Saitama,Colombia,37,15
Saitama,Pakistan,13,11
Saitama,Korea,12,12
National,Total,13405,6368
National,Korea,299,263
National,China,1987,1403
National,Vietnam,5992,1578
National,Philippines,519,449
National,Brazil,538,365
National,USA,188,150
National,Indonesia,171,167
National,Sri Lanka,455,224
National,Thailand,445,79
National,India,66,58
National,Pakistan,127,124
National,Bangladesh,70,64
National,Iran,15,20
National,Malaysia,70,35
National,Canada,23,22
National,UK,30,27
National,France,33,34
National,Russia,47,37
National,Germany,10,11
National,Italy,5,5
