nationality,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
total,9417,9043,11012,9573,9148,9512,9105,8548,10040,13405
asia_total,6798,7223,8929,7385,7448,7865,7743,7454,8550,11738
korea,543,621,855,579,427,610,235,259,309,299
china,2518,3023,2854,2066,2454,2845,2227,2029,2066,1987
vietnam,2556,2142,3591,2993,3021,2931,3539,3579,4082,5992
philippines,450,509,418,375,415,339,524,397,403,519
indonesia,37,60,65,75,41,58,75,54,90,171
sri_lanka,93,95,216,148,193,194,215,278,134,455
thailand,65,155,68,51,86,79,67,67,212,445
india,38,90,52,61,46,74,77,75,94,66
pakistan,47,42,43,59,43,60,72,95,130,127
bangladesh,43,23,30,46,39,39,55,48,64,70
iran,30,24,24,21,17,23,16,19,24,15
malaysia,19,15,222,364,188,50,102,5,30,70
brazil,1282,495,839,795,650,682,514,461,467,538
usa,138,175,148,134,146,96,72,89,125,188
canada,31,48,132,29,31,20,8,12,21,23
uk,31,50,38,37,56,29,29,47,33,30
france,41,32,55,46,33,32,17,23,33,33
russia,59,52,91,209,72,34,19,35,32,47
germany,22,8,11,13,21,4,5,8,15,10
italy,16,19,7,7,15,7,3,4,4,5
europe_total,247,284,319,443,324,199,154,179,273,337
americas_total,2035,1205,1509,1418,1169,1231,918,758,1025,1055
africa,286,263,165,236,142,167,264,130,137,222
oceania,49,67,88,61,65,49,26,26,55,53
