nationality,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
total,6187,6097,6113,5844,5563,5634,5573,5014,5735,6368
asia_total,5032,4940,4925,4717,4441,4609,4775,4199,4675,5212
korea,444,398,391,375,328,244,227,207,251,263
china,1972,1856,1749,1583,1559,1568,1371,1207,1333,1403
vietnam,1475,1470,1443,1373,1244,1495,1908,1581,1608,1578
philippines,435,420,422,368,391,335,374,334,357,449
indonesia,33,53,59,68,40,55,53,52,76,167
sri_lanka,70,80,123,155,141,138,151,133,138,224
thailand,72,80,61,55,63,60,53,44,84,79
india,41,48,51,60,48,72,66,61,73,58
pakistan,39,50,47,51,43,49,44,71,73,124
bangladesh,47,23,28,43,42,33,33,36,60,64
iran,27,33,17,21,16,19,16,19,20,20
malaysia,16,15,92,97,71,48,9,6,22,35
brazil,358,322,362,333,318,351,305,322,335,365
usa,103,155,124,125,127,96,56,77,119,150
canada,30,29,17,31,23,16,8,9,19,22
uk,29,53,41,35,53,30,22,22,31,27
france,32,30,54,43,36,34,18,21,32,34
russia,60,42,62,46,41,32,22,19,24,37
germany,20,9,10,12,21,4,5,9,14,11
italy,13,20,7,7,13,6,4,4,4,5
europe_total,229,237,286,269,273,193,141,136,231,256
americas_total,778,737,718,703,658,656,532,548,669,730
africa,98,112,100,102,127,127,102,110,114,119
oceania,48,69,82,51,64,48,22,20,46,49
