prefecture_code,prefecture_name_en,gdp_per_capita_fy2020,gdp_per_capita_fy2021,gdp_per_capita_fy2022
01,Hokkaido,3845.6,3973.9,4063.8
02,Aomori,3609.0,3665.0,3685.7
03,Iwate,3883.2,3911.3,4063.2
04,Miyagi,4100.5,4190.7,4217.0
05,Akita,3606.7,3751.0,3902.9
06,Yamagata,3962.6,4082.3,4169.4
07,Fukushima,4281.5,4335.9,4393.4
08,Ibaraki,4784.7,5101.9,5136.6
09,Tochigi,4626.7,4804.4,5027.3
10,Gunma,4474.8,4748.9,5102.3
11,Saitama,3137.6,3277.4,3361.8
12,Chiba,3291.4,3309.3,3417.6
13,Tokyo,7770.5,8166.9,8563.8
14,Kanagawa,3714.0,3827.8,3808.2
15,Niigata,4014.2,4137.1,4200.7
16,Toyama,4534.9,4741.3,4847.5
17,Ishikawa,3997.7,4120.7,4220.7
18,Fukui,4641.2,4811.3,4641.4
19,Yamanashi,4384.2,4581.6,4632.9
20,Nagano,4049.6,4253.0,4414.9
21,Gifu,3880.6,4062.8,4227.2
22,Shizuoka,4742.6,4852.7,5100.4
23,Aichi,5253.0,5390.4,5748.1
24,Mie,4705.9,4839.9,4873.6
25,Shiga,4784.6,4884.5,4972.5
26,Kyoto,4009.6,4246.4,4356.3
27,Osaka,4514.9,4698.5,4910.2
28,Hyogo,4014.7,4166.2,4342.9
29,Nara,2787.9,2897.9,3002.7
30,Wakayama,3906.2,4176.4,4424.0
31,Tottori,3309.1,3530.9,3517.6
32,Shimane,3852.2,4014.7,4184.1
33,Okayama,3995.0,4109.9,3944.0
34,Hiroshima,4149.5,4361.7,4521.2
35,Yamaguchi,4553.9,4716.9,4801.5
36,Tokushima,4451.6,4709.9,4639.9
37,Kagawa,3882.3,4086.3,4252.7
38,Ehime,3606.4,3853.4,3932.8
39,Kochi,3366.0,3477.9,3562.9
40,Fukuoka,3700.3,3857.9,3945.9
41,Saga,3756.1,3944.1,3932.2
42,Nagasaki,3457.6,3566.3,3626.8
43,Kumamoto,3485.6,3692.9,3820.6
44,Oita,3962.5,4272.5,4427.7
45,Miyazaki,3389.7,3503.0,3579.6
46,Kagoshima,3523.6,3773.7,3870.7
47,Okinawa,2862.7,2976.0,3038.5
