prefecture_code,prefecture_name_en,income_fy2020,income_fy2021,income_fy2022
01,Hokkaido,2749,2816,2891
02,Aomori,2566,2646,2704
03,Iwate,2648,2672,2709
04,Miyagi,2797,2859,2871
05,Akita,2540,2682,2769
06,Yamagata,2830,2877,2994
07,Fukushima,2847,2919,2899
08,Ibaraki,3141,3452,3481
09,Tochigi,3132,3306,3435
10,Gunma,3021,3235,3467
11,Saitama,2876,3049,3138
12,Chiba,2975,3007,3163
13,Tokyo,5201,5730,6037
14,Kanagawa,3096,3216,3180
15,Niigata,2784,2931,2934
16,Toyama,3105,3280,3347
17,Ishikawa,2781,2905,2977
18,Fukui,3137,3226,3095
19,Yamanashi,2995,3271,3362
20,Nagano,2815,2956,3108
21,Gifu,2883,3085,3192
22,Shizuoka,3139,3303,3478
23,Aichi,3431,3604,3819
24,Mie,2990,3135,3227
25,Shiga,3120,3203,3292
26,Kyoto,2791,3020,3129
27,Osaka,2862,3054,3257
28,Hyogo,2909,3013,3150
29,Nara,2579,2673,2757
30,Wakayama,2763,3115,3375
31,Tottori,2343,2527,2491
32,Shimane,2778,2925,3031
33,Okayama,2638,2753,2553
34,Hiroshima,2994,3189,3275
35,Yamaguchi,2908,2992,3068
36,Tokushima,3028,3230,3170
37,Kagawa,2755,2850,3005
38,Ehime,2512,2685,2764
39,Kochi,2475,2661,2703
40,Fukuoka,2653,2772,2813
41,Saga,2578,2737,2892
42,Nagasaki,2481,2580,2570
43,Kumamoto,2511,2764,2857
44,Oita,2628,2870,2871
45,Miyazaki,2298,2429,2453
46,Kagoshima,2470,2652,2722
47,Okinawa,2156,2240,2249
