year,total,korea,china,brazil,philippines,vietnam,usa,other
1950,598694,578802,0,0,0,0,4972,14920
1955,641482,577669,0,0,0,0,7235,56578
1960,650566,581257,45535,0,0,0,8026,15748
1965,665989,583537,49418,0,0,0,10467,22567
1970,708458,614202,51481,0,0,0,15085,27690
1975,751842,647156,47677,0,0,0,19000,38009
1980,782910,664536,52896,0,0,0,22401,43077
1985,850612,683313,74924,1955,12261,0,24878,53281
1990,1075317,687940,150339,56429,49090,6233,37117,88169
1995,1362371,666376,222217,176440,74297,9995,43198,169848
2000,1686444,635269,335575,254394,144871,16908,44856,254571
2005,2011555,598687,519561,302080,187261,19657,51321,332988
2010,2134151,565989,687156,230552,210181,41781,50667,347825
2012,2033656,530046,652595,190609,202985,52367,49184,355870
2014,2121831,501230,654777,175410,218398,99865,51256,420895
2016,2382822,453096,695522,180923,243662,199990,53349,556280
2018,2731093,449634,764720,201865,271289,330835,57500,655250
2019,2933137,446364,813675,211177,282798,411968,57500,709655
2020,2887116,426908,778112,208538,279660,448053,56237,689608
2021,2760635,409747,716606,204879,276654,432934,55230,664585
2022,3075213,411312,761563,209430,298740,489312,58236,846620
2023,3410992,412340,823565,215740,335831,565000,60194,997322
2024,3768977,411748,788495,210563,309943,520154,62425,1465649
