rank_in_japan,country,world_pop_rank,country_population_2024,residents_in_japan,pct_of_foreign_residents,pct_of_home_population
1,China,2,1419321278,788495,0.244581,0.0005555437
2,Vietnam,16,100987686,520154,0.161345,0.0051506676
3,South Korea,29,51717590,411748,0.127719,0.0079614692
4,Philippines,14,115843670,309943,0.096140,0.0026755281
5,Brazil,7,211998573,210563,0.065314,0.0009932284
6,Nepal,51,29651054,156333,0.048493,0.0052724264
7,Indonesia,4,283487931,122028,0.037852,0.0004304522
8,Myanmar,27,54500091,69613,0.021593,0.0012773006
9,Thailand,20,71668011,63689,0.019756,0.0008886671
10,United States,3,345426571,62425,0.019363,0.0001807186
11,Taiwan,60,23213962,60220,0.018679,0.0025941285
12,Peru,47,34217848,49114,0.015235,0.0014353328
13,India,1,1450935791,48835,0.015148,0.0000336576
14,Sri Lanka,61,23103565,46949,0.014563,0.0020321106
15,Bangladesh,8,173562364,24940,0.007736,0.0001436947
16,North Korea,56,26498823,24305,0.007539,0.0009172105
17,Cambodia,73,17638801,23750,0.007367,0.0013464634
18,Pakistan,5,251269164,21293,0.006605,0.0000847418
19,Mongolia,133,3475540,20416,0.006333,0.0058741951
20,United Kingdom,21,69138192,19909,0.006176,0.0002879595
21,Australia,55,26713205,12121,0.003760,0.0004537456
22,Canada,38,39742430,11670,0.003620,0.0002936408
23,Malaysia,44,35557673,11045,0.003426,0.0003106221
24,Russia,9,144820423,10000,0.003102,0.0000690510
25,France,23,66548530,9000,0.002792,0.0001352397
26,Germany,19,84552242,8260,0.002562,0.0000976911
27,Bolivia,79,12413315,6559,0.002035,0.0005283842
28,Turkey,18,87473805,6464,0.002005,0.0000738964
29,Afghanistan,36,42647492,5618,0.001743,0.0001317311
30,Italy,25,59342867,4695,0.001456,0.0000791165
31,Angola,41,37885849,4212,0.001307,0.0001111761
32,Ukraine,42,37860221,4158,0.001290,0.0001098250
33,Nigeria,6,232679478,4000,0.001241,0.0000171910
34,Iran,17,91567738,4000,0.001241,0.0000436835
35,Laos,103,7769819,3859,0.001197,0.0004966654
36,New Zealand,125,5213944,3844,0.001192,0.0007372538
37,Uzbekistan,43,36361859,3746,0.001162,0.0001030200
38,Spain,32,47910526,3710,0.001151,0.0000774360
39,Mexico,11,130861007,3504,0.001087,0.0000267765
40,Argentina,35,45696159,3350,0.001039,0.0000733103
41,Singapore,115,5832387,3306,0.001025,0.0005668348
42,Ghana,46,34427414,2857,0.000886,0.0000829862
43,Colombia,28,52886363,2716,0.000842,0.0000513554
44,Romania,67,19015088,2408,0.000747,0.0001266363
45,Egypt,13,116538258,2273,0.000705,0.0000195043
46,Paraguay,108,6929153,2239,0.000695,0.0003231275
47,Sweden,90,10606999,1871,0.000580,0.0001763930
48,Netherlands,71,18228742,1805,0.000560,0.0000990194
49,Switzerland,101,8921981,1800,0.000558,0.0002017489
50,Poland,39,38539201,1653,0.000513,0.0000428914
51,South Africa,24,64007187,1419,0.000440,0.0000221694
52,Syria,57,24672760,1393,0.000432,0.0000564590
53,Cameroon,52,29123744,1254,0.000389,0.0000430577
54,Chile,66,19764771,1179,0.000366,0.0000596516
55,Belgium,83,11738763,1097,0.000340,0.0000934511
56,Kenya,26,56432944,1043,0.000324,0.0000184821
57,Senegal,69,18501984,1025,0.000318,0.0000553995
58,Denmark,114,5977412,941,0.000292,0.0001574260
59,Kyrgyzstan,107,7186009,866,0.000269,0.0001205120
60,Finland,117,5617310,865,0.000268,0.0001539883
61,Hungary,96,9676135,814,0.000252,0.0000841245
62,Tunisia,80,12277109,796,0.000247,0.0000648361
63,Portugal,93,10425292,785,0.000243,0.0000752977
64,Morocco,40,38081173,747,0.000232,0.0000196160
65,Kazakhstan,64,20592571,733,0.000227,0.0000355954
66,Israel,98,9387021,720,0.000223,0.0000767017
