prefecture,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2026
National,41500,66200,121300,286600,185000,148700,117100,113700,102600,119900,137100,144700
Three_Major_Metro,63600,96300,175700,466400,281200,221700,175700,176900,171600,196600,225500,239900
Tokyo_Metro,72600,106300,196500,521300,322000,248900,207000,210800,207600,244900,285900,307500
Osaka_Metro,64100,97200,168900,476000,265600,214000,148500,145700,137500,145100,157500,163300
Nagoya_Metro,30000,49200,97100,169400,140000,122300,100200,101300,100600,111800,126800,130100
Regional,23100,34100,62600,84100,85500,76900,58900,50900,44400,48000,54100,55400
Hokkaido,17600,26900,42400,58800,58900,48300,38800,35600,31100,37300,52400,53200
Aomori,18000,26400,48300,47900,43600,46300,42500,34100,24400,24300,24500,24700
Iwate,17900,30000,57200,59600,56400,58200,51300,39500,32200,33100,35000,35400
Miyagi,27700,36900,59700,93200,90600,78200,56900,51500,52400,67400,87400,91100
Akita,14000,25300,47900,47800,44100,48100,40600,30900,21900,21400,22600,23100
Yamagata,15300,27700,48600,47700,43900,48800,42300,32100,25300,26400,27800,27200
Fukushima,19300,28500,49100,58700,63100,55000,42200,35100,30900,35400,37800,38000
Ibaraki,21100,27700,52300,74200,85700,69700,49200,40500,31100,30800,33600,34800
Tochigi,23900,29900,50800,74600,88100,77400,56200,46600,35000,35000,35200,35500
Gunma,21500,33000,53600,77100,88300,73700,52300,45800,37500,37600,37200,37600
Saitama,46200,72200,135400,278400,223100,167800,133800,130100,121200,129700,145100,149500
Chiba,45700,65000,119700,317600,220100,148700,107100,104300,96400,101700,122900,130000
Tokyo,107700,163300,296800,891200,462000,357000,318200,340400,350300,432300,515300,565100
Kanagawa,56300,84500,170200,366800,287300,240300,188800,185800,183400,191500,212400,221100
Niigata,26300,38000,63300,73100,74000,68200,49500,44600,38100,36800,37600,37700
Toyama,19200,29000,60600,70500,72100,67100,48200,38900,34800,35300,36600,36700
Ishikawa,25700,43500,82400,97500,111900,101400,69800,56400,47100,53400,58900,59400
Fukui,25500,43200,82000,98500,100600,87700,63000,49800,40900,39200,39200,39600
Yamanashi,18800,35900,64100,94900,96400,77200,50900,42600,36900,35300,34300,34500
Nagano,19000,38700,69600,83400,82200,74600,52700,43200,35400,36000,37300,37200
Gifu,25800,38200,67300,99300,104300,84200,58300,52300,47200,46200,46400,46600
Shizuoka,26500,42700,85900,139700,131900,112200,86700,80800,73600,72900,72000,72300
Aichi,30900,50200,100400,171800,143300,125800,103200,104400,102900,113900,128800,132100
Mie,16500,23100,43700,59400,69500,63900,51300,45800,39500,38300,38900,39100
Shiga,25800,36000,63800,117300,94900,80300,57400,57000,50500,51700,54600,55500
Kyoto,51100,79300,168100,475000,253300,210900,151000,148900,134800,146700,158800,164100
Osaka,63400,93800,165900,487200,280000,223800,156700,150200,140300,147100,159500,165600
Hyogo,60700,98700,163900,416800,243000,196700,131600,132000,123200,129500,141400,146900
Nara,32400,47000,92400,206000,142400,115800,80200,74700,67000,67900,68400,69500
Wakayama,38500,53500,104200,132000,112600,91700,67100,55400,44400,43700,42200,41500
Tottori,19600,31700,62300,70800,63400,62900,50200,40000,30100,29600,29300,29600
Shimane,15400,25300,54100,57400,45300,46600,45300,41600,35300,34000,34200,34600
Okayama,19400,29900,53100,73500,88800,80700,56000,50500,43500,44000,46600,47800
Hiroshima,40900,51600,95500,143400,144100,120200,91400,80400,73400,85000,94000,96900
Yamaguchi,18700,29900,54800,59800,64800,65200,51500,41400,33200,33600,35700,36000
Tokushima,28000,40800,74800,80700,104400,108600,88400,66700,48300,49600,47900,48300
Kagawa,43500,51600,91000,118600,102200,89500,67400,50500,42900,44600,45800,45800
Ehime,25300,38000,69100,79200,85200,84900,68500,63000,55300,53200,52600,52800
Kochi,34900,51900,99500,95500,94400,95500,89100,71600,51600,50900,52000,52200
Fukuoka,19600,34900,68700,94800,103100,95400,76700,69100,67200,83500,114900,121800
Saga,10600,21300,44400,48000,48600,49400,44700,38000,29200,31000,35000,36800
Nagasaki,19200,32600,66300,72500,72600,74400,55200,45700,39100,41100,45500,46300
Kumamoto,12700,26400,55900,66400,82700,79100,62200,51900,48600,52000,60100,62800
Oita,21600,30500,53000,57300,65500,66900,58800,47500,40600,42900,49300,50400
Miyazaki,12400,20300,38400,43000,42500,44100,41900,38000,31300,32400,33000,33400
Kagoshima,35100,51400,79400,81300,60100,61700,58100,50800,43300,42600,44700,45100
Okinawa,21200,36000,77200,101800,117600,107800,81800,72900,74000,103100,121700,130500
