prefecture_code,prefecture_name_en,monthly_rent_jpy
01,Hokkaido,44793
02,Aomori,40238
03,Iwate,42978
04,Miyagi,51110
05,Akita,41986
06,Yamagata,44936
07,Fukushima,44001
08,Ibaraki,47524
09,Tochigi,46642
10,Gunma,44268
11,Saitama,62265
12,Chiba,61372
13,Tokyo,87126
14,Kanagawa,70922
15,Niigata,46491
16,Toyama,45497
17,Ishikawa,46319
18,Fukui,45991
19,Yamanashi,45302
20,Nagano,46023
21,Gifu,45656
22,Shizuoka,51508
23,Aichi,55223
24,Mie,47120
25,Shiga,50682
26,Kyoto,57170
27,Osaka,59227
28,Hyogo,57845
29,Nara,51999
30,Wakayama,42054
31,Tottori,42577
32,Shimane,42528
33,Okayama,48209
34,Hiroshima,51544
35,Yamaguchi,41926
36,Tokushima,42893
37,Kagawa,45282
38,Ehime,41680
39,Kochi,42170
40,Fukuoka,51176
41,Saga,45265
42,Nagasaki,43304
43,Kumamoto,44566
44,Oita,41888
45,Miyazaki,41450
46,Kagoshima,39418
47,Okinawa,49400
