year,quarter,index
1955,1,2.21
1955,2,2.28
1955,3,2.35
1955,4,2.43
1956,1,2.52
1956,2,2.66
1956,3,2.81
1956,4,3.0
1957,1,3.18
1957,2,3.35
1957,3,3.52
1957,4,3.72
1958,1,3.91
1958,2,4.15
1958,3,4.38
1958,4,4.62
1959,1,4.85
1959,2,5.13
1959,3,5.42
1959,4,5.69
1960,1,5.96
1960,2,6.41
1960,3,6.86
1960,4,7.53
1961,1,8.21
1961,2,8.86
1961,3,9.51
1961,4,9.95
1962,1,10.38
1962,2,10.81
1962,3,11.25
1962,4,11.63
1963,1,12.02
1963,2,12.4
1963,3,12.79
1963,4,13.22
1964,1,13.65
1964,2,14.13
1964,3,14.62
1964,4,15.14
1965,1,15.67
1965,2,15.86
1965,3,16.06
1965,4,16.35
1966,1,16.63
1966,2,16.97
1966,3,17.31
1966,4,17.79
1967,1,18.27
1967,2,18.99
1967,3,19.71
1967,4,20.53
1968,1,21.35
1968,2,22.26
1968,3,23.17
1968,4,24.33
1969,1,25.48
1969,2,26.92
1969,3,28.37
1969,4,29.81
1970,1,31.25
1970,2,32.68
1970,3,34.13
1970,4,35.48
1971,1,36.83
1971,2,38.17
1971,3,39.52
1971,4,40.82
1972,1,42.12
1972,2,43.99
1972,3,45.87
1972,4,50.1
1973,1,54.33
1973,2,58.77
1973,3,63.27
1973,4,65.91
1974,1,68.56
1974,2,69.13
1974,3,69.71
1974,4,67.69
1975,1,65.67
1975,2,65.86
1975,3,66.06
1975,4,66.35
1976,1,66.63
1976,2,67.21
1976,3,67.79
1976,4,68.51
1977,1,69.23
1977,2,70.0
1977,3,70.77
1977,4,71.63
1978,1,72.5
1978,2,73.7
1978,3,74.9
1978,4,76.44
1979,1,77.98
1979,2,80.18
1979,3,82.4
1979,4,85.14
1980,1,87.88
1980,2,90.77
1980,3,93.65
1980,4,96.15
1981,1,98.65
1981,2,101.0
1981,3,103.37
1981,4,105.48
1982,1,107.6
1982,2,109.32
1982,3,111.06
1982,4,112.45
1983,1,113.85
1983,2,114.95
1983,3,116.06
1983,4,117.02
1984,1,117.98
1984,2,118.8
1984,3,119.62
1984,4,120.43
1985,1,121.25
1985,2,121.87
1985,3,122.5
1985,4,123.17
1986,1,123.85
1986,2,124.71
1986,3,125.58
1986,4,127.5
1987,1,129.42
1987,2,133.39
1987,3,137.4
1987,4,138.8
1988,1,140.19
1988,2,141.63
1988,3,143.08
1988,4,145.43
1989,1,147.79
1989,2,151.28
1989,3,154.81
1989,4,160.77
1990,1,166.73
1990,2,172.52
1990,3,178.37
1990,4,180.58
1991,1,182.79
1991,2,182.55
1991,3,182.31
1991,4,180.29
1992,1,178.27
1992,2,176.06
1992,3,173.85
1992,4,171.63
1993,1,169.42
1993,2,167.99
1993,3,166.54
1993,4,165.48
1994,1,164.42
1994,2,163.75
1994,3,163.08
1994,4,162.5
1995,1,161.92
1995,2,161.3
1995,3,160.67
1995,4,159.86
1996,1,159.04
1996,2,158.32
1996,3,157.6
1996,4,157.12
1997,1,156.63
1997,2,156.2
1997,3,155.77
1997,4,155.19
1998,1,154.62
1998,2,153.85
1998,3,153.08
1998,4,151.78
1999,1,150.48
1999,2,149.24
1999,3,147.98
1999,4,146.54
2000,1,145.1
2000,2,143.65
2000,3,142.21
2000,4,140.67
2001,1,139.13
2001,2,137.51
2001,3,135.87
2001,4,134.04
2002,1,132.21
2002,2,130.39
2002,3,128.56
2002,4,126.49
2003,1,124.42
2003,2,122.37
2003,3,120.29
2003,4,118.37
2004,1,116.44
2004,2,114.71
2004,3,112.98
2004,4,111.59
2005,1,110.19
2005,2,108.95
2005,3,107.69
2005,4,106.83
2006,1,105.96
2006,2,105.39
2006,3,104.81
2006,4,104.57
2007,1,104.33
2007,2,104.18
2007,3,104.04
2007,4,103.8
2008,1,103.56
2008,2,102.88
2008,3,102.21
2008,4,101.15
2009,1,99.21
2009,2,97.71
2009,3,99.14
2009,4,98.27
2010,1,99.61
2010,2,99.78
2010,3,100.38
2010,4,100.24
2011,1,100.44
2011,2,99.97
2011,3,100.61
2011,4,99.24
2012,1,99.94
2012,2,98.87
2012,3,99.14
2012,4,98.81
2013,1,99.47
2013,2,100.58
2013,3,101.61
2013,4,101.58
2014,1,102.54
2014,2,102.08
2014,3,102.71
2014,4,102.18
2015,1,104.98
2015,2,104.64
2015,3,105.64
2015,4,104.18
2016,1,106.68
2016,2,107.74
2016,3,107.51
2016,4,106.81
2017,1,110.84
2017,2,109.91
2017,3,110.14
2017,4,108.74
2018,1,112.54
2018,2,112.01
2018,3,112.11
2018,4,111.48
2019,1,115.14
2019,2,114.18
2019,3,113.51
2019,4,112.54
2020,1,114.64
2020,2,113.38
2020,3,113.38
2020,4,114.31
2021,1,118.48
2021,2,119.58
2021,3,122.61
2021,4,122.11
2022,1,129.21
2022,2,130.58
2022,3,132.24
2022,4,131.31
2023,1,135.34
2023,2,134.81
2023,3,135.08
2023,4,133.98
2024,1,138.71
2024,2,138.54
2024,3,139.44
2024,4,137.71
2025,1,145.21
