year,military_personnel,dependents_civilians,notes
1945,350000,0,"Peak occupation force; Sept 1945"
1946,270000,0,"Demobilization ongoing"
1947,130000,0,""
1948,100000,0,""
1949,97000,0,""
1950,100000,0,"Korean War mobilization begins"
1951,260000,0,"Korean War peak; Japan as staging area"
1952,210000,0,"Peace Treaty in force April 1952"
1953,183000,0,"Korean armistice July 1953"
1955,140000,0,""
1960,77000,18000,"Post-Eisenhower drawdown; Anpo protests"
1965,48000,22000,""
1970,40000,20000,""
1975,38000,18000,""
1980,39000,19000,""
1985,48000,22000,""
1990,50000,23000,""
1995,47000,22000,"Okinawa rape incident; base review"
2000,40000,20000,""
2005,35000,17000,"Realignment talks"
2010,38000,18000,""
2015,49000,22000,"Revised defense guidelines"
2020,53000,24000,""
2023,54000,24000,""
2025,55000,25000,"Current USFJ estimate"
